subject,relation,object,source_url
Facebook,related_to,Twitter,https://distill.pub/2021/understanding-gnns/
David Nichols,related_to,Coloring for Colorblindness,https://distill.pub/2021/understanding-gnns/
Ashish Tendulkar,related_to,Google Research India,https://distill.pub/2021/understanding-gnns/
Adam Pearce,related_to,Google Research,https://distill.pub/2021/understanding-gnns/
Anirban Santara,related_to,Sujoy Paul,https://distill.pub/2021/understanding-gnns/
Sujoy Paul,related_to,Ansh Khurana,https://distill.pub/2021/understanding-gnns/
Ansh Khurana,related_to,Google Research India,https://distill.pub/2021/understanding-gnns/
Balaraman Ravindran,related_to,Gaurav Aggarwal,https://distill.pub/2021/understanding-gnns/
Chaitanya K. Joshi,related_to,Nick Moran,https://distill.pub/2021/understanding-gnns/
Nick Moran,related_to,GitHub,https://distill.pub/2021/understanding-gnns/
Daigavane,related_to,Distill,https://distill.pub/2021/understanding-gnns/
Distill,related_to,2021,https://distill.pub/2021/understanding-gnns/
Daigavane,related_to,Ameya,https://distill.pub/2021/understanding-gnns/
Ameya,related_to,Ravindran,https://distill.pub/2021/understanding-gnns/
Ravindran,related_to,Balaraman,https://distill.pub/2021/understanding-gnns/
Balaraman,related_to,Aggarwal,https://distill.pub/2021/understanding-gnns/
Aggarwal,related_to,Gaurav,https://distill.pub/2021/understanding-gnns/
Gaurav,related_to,2021,https://distill.pub/2021/understanding-gnns/
Sandhini Agarwal,related_to,Daniela Amodei,https://distill.pub/2021/multimodal-neurons/
Daniela Amodei,related_to,Dario Amodei,https://distill.pub/2021/multimodal-neurons/
Dario Amodei,related_to,Tom Brown,https://distill.pub/2021/multimodal-neurons/
Tom Brown,related_to,Jeff Clune,https://distill.pub/2021/multimodal-neurons/
Jeff Clune,related_to,Steve Dowling,https://distill.pub/2021/multimodal-neurons/
Steve Dowling,related_to,Gretchen Krueger,https://distill.pub/2021/multimodal-neurons/
Gretchen Krueger,related_to,Brice Menard,https://distill.pub/2021/multimodal-neurons/
Brice Menard,related_to,Reiichiro Nakano,https://distill.pub/2021/multimodal-neurons/
Reiichiro Nakano,related_to,Aditya Ramesh,https://distill.pub/2021/multimodal-neurons/
Aditya Ramesh,related_to,Pranav Shyam,https://distill.pub/2021/multimodal-neurons/
Pranav Shyam,related_to,Ilya Sutskever,https://distill.pub/2021/multimodal-neurons/
Ilya Sutskever,related_to,Martin,https://distill.pub/2021/multimodal-neurons/
Martin,related_to,Wattenberg,https://distill.pub/2021/multimodal-neurons/
Chris Olah,related_to,Gabe,https://distill.pub/2021/multimodal-neurons/
Gabe,related_to,Alec Radford,https://distill.pub/2021/multimodal-neurons/
Gabriel Goh,related_to,weekly,https://distill.pub/2021/multimodal-neurons/
Shan Carter,related_to,"Gabriel
Goh",https://distill.pub/2021/multimodal-neurons/
Nick Cammarata†,related_to,Drew,https://distill.pub/2021/multimodal-neurons/
Quiroga,related_to,Reddy,https://distill.pub/2021/multimodal-neurons/
Reddy,related_to,Kreiman,https://distill.pub/2021/multimodal-neurons/
Kreiman,related_to,Koch,https://distill.pub/2021/multimodal-neurons/
Koch,related_to,Fried,https://distill.pub/2021/multimodal-neurons/
Fried,related_to,2005,https://distill.pub/2021/multimodal-neurons/
Quiroga,related_to,Kraskov,https://distill.pub/2021/multimodal-neurons/
Kraskov,related_to,Koch,https://distill.pub/2021/multimodal-neurons/
Fried,related_to,2009,https://distill.pub/2021/multimodal-neurons/
Radford,related_to,Kim,https://distill.pub/2021/multimodal-neurons/
