private_entity,entity_label,ner_type,wikidata_uri,wikidata_label,description,confidence,status
http://ai-kb.local/entity/Rust,Rust,Person,http://www.wikidata.org/entity/Q575650,Rust,memory-safe programming language without garbage collection,1.0,MATCHED
http://ai-kb.local/entity/Doron,Doron,Person,http://www.wikidata.org/entity/Q16550556,Doron,male given name,1.0,MATCHED
http://ai-kb.local/entity/Goh,Goh,Person,,Kian Mau Goh,,0.433,NOT_FOUND
http://ai-kb.local/entity/Lucas,Lucas,Person,http://www.wikidata.org/entity/Q12325000,Lucas,male given name,1.0,MATCHED
http://ai-kb.local/entity/Khalifa,Khalifa,Person,http://www.wikidata.org/entity/Q30091526,Khalifa,male given name,1.0,MATCHED
http://ai-kb.local/entity/DanielFilan,Daniel Filan,Person,,none,,0.0,NOT_FOUND
http://ai-kb.local/entity/Askell,Askell,Person,,Askell Jonsson,,0.5,NOT_FOUND
http://ai-kb.local/entity/NickMoran,Nick Moran,Person,http://www.wikidata.org/entity/Q135271270,Nick Moran,escape room and interactive entertainment designer,1.0,MATCHED
http://ai-kb.local/entity/AlecRadford,Alec Radford,Person,http://www.wikidata.org/entity/Q29180956,Alec Radford,machine learning researcher/developer,1.0,MATCHED
http://ai-kb.local/entity/Marris,Marris,Person,http://www.wikidata.org/entity/Q37251046,Marris,family name,1.0,MATCHED
http://ai-kb.local/entity/Riedmiller,Riedmiller,Person,http://www.wikidata.org/entity/Q37452431,Riedmiller,family name,1.0,MATCHED
http://ai-kb.local/entity/Zaremba,Zaremba,Person,http://www.wikidata.org/entity/Q21449013,Zaremba,family name,1.0,MATCHED
http://ai-kb.local/entity/Hilton,Hilton,Person,http://www.wikidata.org/entity/Q16256942,Hilton,given name,1.0,MATCHED
http://ai-kb.local/entity/Karkkainen,Kärkkäinen,Person,http://www.wikidata.org/entity/Q27890940,Kärkkäinen,family name,1.0,MATCHED
http://ai-kb.local/entity/AdityaRamesh,Aditya Ramesh,Person,http://www.wikidata.org/entity/Q135241027,Aditya Ramesh,,1.0,MATCHED
http://ai-kb.local/entity/ChaitanyaKJoshi,Chaitanya K. Joshi,Person,http://www.wikidata.org/entity/Q135166013,Chaitanya K. Joshi,"researcher, University of Cambridge",1.0,MATCHED
http://ai-kb.local/entity/Sermanet,Sermanet,Person,,none,,0.0,NOT_FOUND
http://ai-kb.local/entity/Karpathy,Karpathy,Person,http://www.wikidata.org/entity/Q136379974,Karpathy,family name,1.0,MATCHED
http://ai-kb.local/entity/Akkaya,Akkaya,Person,http://www.wikidata.org/entity/Q56244850,Akkaya,family name,1.0,MATCHED
http://ai-kb.local/entity/Fong,Fong,Person,http://www.wikidata.org/entity/Q37052386,Fong,family name,1.0,MATCHED
http://ai-kb.local/entity/Gabriel,Gabriel,Person,http://www.wikidata.org/entity/Q4925914,Gabriel,male given name,1.0,MATCHED
http://ai-kb.local/entity/Sutskever,Sutskever,Person,http://www.wikidata.org/entity/Q28026693,Sutskever,family name,1.0,MATCHED
http://ai-kb.local/entity/Mnih,Mnih,Person,,Mnihla,,0.0,NOT_FOUND
http://ai-kb.local/entity/Brox,Brox,Person,http://www.wikidata.org/entity/Q21507002,Brox,family name,1.0,MATCHED
http://ai-kb.local/entity/Gaurav,Gaurav,Person,http://www.wikidata.org/entity/Q15572940,Gaurav,male given name,1.0,MATCHED
http://ai-kb.local/entity/Ibrahim,Ibrahim,Person,http://www.wikidata.org/entity/Q30091560,Ibrahim,family name,1.0,MATCHED
http://ai-kb.local/entity/JohnSchulman,John Schulman,Person,http://www.wikidata.org/entity/Q103236782,John Schulman,American computer scientist,1.0,MATCHED
http://ai-kb.local/entity/Batra,Batra,Person,,Batrachochytrium dendrobatidis,,0.0,NOT_FOUND
http://ai-kb.local/entity/Hallacy,Hallacy,Person,http://www.wikidata.org/entity/Q37451791,Hallacy,family name,1.0,MATCHED
http://ai-kb.local/entity/Moritz,Moritz,Person,http://www.wikidata.org/entity/Q16422573,Moritz,male given name,1.0,MATCHED
http://ai-kb.local/entity/Vedantam,Vedantam,Person,,Vedantam Rajshekhar,,0.6,NOT_FOUND
http://ai-kb.local/entity/Roy,Roy,Person,http://www.wikidata.org/entity/Q2170752,Roy,male given name,1.0,MATCHED
http://ai-kb.local/entity/Makelov,Makelov,Person,,Make Love Not Porn,,0.0,NOT_FOUND
http://ai-kb.local/entity/Pollak,Pollak,Person,http://www.wikidata.org/entity/Q634520,Pollak,family name,1.0,MATCHED
http://ai-kb.local/entity/Ward,Ward,Person,http://www.wikidata.org/entity/Q2549042,Ward,family name,1.0,MATCHED
http://ai-kb.local/entity/Bottou,Bottou,Person,,Botou Department,,0.0,NOT_FOUND
http://ai-kb.local/entity/Everingham,Everingham,Person,http://www.wikidata.org/entity/Q5417266,Everingham,"village and civil parish in the East Riding of Yorkshire, England",1.0,MATCHED
http://ai-kb.local/entity/Ilyas,Ilyas,Person,http://www.wikidata.org/entity/Q343835,Ilyas,male given name,1.0,MATCHED
http://ai-kb.local/entity/ShanCarter,Shan Carter,Person,http://www.wikidata.org/entity/Q50358651,Shan Carter,researcher,1.0,MATCHED
